perfil,lat,lon,x,y,t_ini,t_fin,zona_utm,profundidad,temperatura,pH,DO_SAT,DO,Blue,Chl
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-725.124,233.477,656.897,941.721,802.572,4.2793,244.477
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-72.116,23.361,656.901,94.455,804.782,546.843,266.834
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-722.151,233.539,656.857,942.818,803.413,552.853,342.401
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,233.452,6.5685,938.823,8.2014,421.236,279.406
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-719.178,233.381,656.792,942.615,803.479,466.567,276.808
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-722.151,233.539,656.882,945.563,805.752,513.134,324.812
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-717.196,233.526,656.802,940.088,801.106,398.549,268.443
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-726.115,23.354,656.806,944.779,805.082,430.491,278.638
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-72.116,233.516,656.853,937.961,799.309,435.471,279.423
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-722.151,233.532,6.5679,947.076,807.052,418.304,247.444
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-718.187,233.464,656.881,93.801,799.193,392.793,3.367
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-718.187,233.622,656.821,941.101,802.063,471.572,26.738
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-712.241,233.557,NaN,939.443,800.509,367.749,260.675
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-716.205,233.665,6.5682,944.133,804.342,4.8799,239.402
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-715.214,23.361,656.845,94.253,8.0306,491.046,310.929
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-722.151,233.467,655.958,939.523,800.714,491.195,258.001
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-712.241,233.715,6.5656,938.989,799.884,579.475,301.974
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,23.587,656.759,93.944,797.028,426.642,277.624
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,235.886,656.747,937.389,795.264,390.212,270.726
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,235.886,654.804,937.792,795.606,NaN,105.768
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-703.322,235.907,656.648,938.082,7.9582,400.913,276.919
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,235.954,656.726,935.861,793.866,503.709,235.027
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-703.322,235.985,657.336,934.286,792.484,435.375,200.147
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,235.826,656.877,940.242,797.775,392.648,298.027
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,235.951,656.839,938.193,795.849,454.667,190.926
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-713.232,236.124,656.842,938.834,796.134,608.381,225.564
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-71.125,23.6,6.5679,93.825,795.824,498.982,266.623
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-709.268,236.034,656.761,939.062,796.461,4.8321,287.444
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,236.124,656.807,942.339,799.106,544.535,254.546
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,236.087,656.762,936.482,794.195,391.852,224.281
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-705.304,236.007,656.725,939.394,796.784,5.5139,304.525
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,23.614,6.5675,942.619,7.9932,463.953,265.085
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,236.068,656.756,936.583,794.118,4.2973,276.263
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-709.268,236.149,656.792,934.932,792.908,388.271,300.158
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,236.146,656.757,93.353,NaN,486.917,22.977
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-715.214,236.164,656.776,940.229,797.256,398.594,307.457
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,236.144,656.758,934.323,792.278,553.044,240.322
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-700.349,236.194,656.768,938.579,795.813,489.833,268.479
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,236.315,656.709,935.523,793.042,3.8456,302.914
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-71.125,236.234,656.706,936.974,794.392,2.9546,270.172
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-71.125,236.087,656.743,943.004,799.726,404.144,226.541
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-71.125,23.627,656.771,936.377,793.833,548.792,326.177
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,236.607,656.712,936.065,793.065,462.417,287.423
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,236.548,656.771,935.408,792.597,445.676,261.028
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,236.669,656.745,939.136,795.574,487.249,336.219
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,236.579,656.533,933.063,790.564,399.091,290.091
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,23.665,656.678,938.579,NaN,422.558,238.845
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,236.714,656.572,937.176,793.847,447.679,212.208
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-702.331,236.802,656.838,935.553,792.341,474.739,214.288
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-713.232,236.884,656.789,937.657,794.001,6.2634,279.603
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-703.322,236.808,656.723,934.277,791.252,484.103,272.871
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,23.688,656.693,936.706,793.202,390.407,262.306
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,236.836,656.722,936.762,793.315,373.978,275.486
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-713.232,236.827,664.796,940.756,796.632,542.558,278.518
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-702.331,236.827,664.796,935.539,792.293,458.502,242.001
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,236.925,656.576,935.274,NaN,NaN,195.625
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,236.966,6.5676,936.431,7.9284,481.284,221.998
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-709.268,237.098,656.966,938.548,794.437,426.568,28.709
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,237.031,656.474,936.096,7.9246,528.688,271.121
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,237.022,656.144,934.875,7.9144,322.447,172.349
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.124,656.836,934.135,790.662,439.714,158.624
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,656.454,941.436,796.925,359.025,273.584
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-700.349,237.056,657.152,935.771,792.148,407.674,356.482
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-705.304,237.038,656.271,932.286,789.226,636.781,230.576
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,237.078,657.308,933.751,7.9047,402.325,219.331
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,237.061,656.923,935.797,793.993,424.494,177.022
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,237.143,656.896,935.106,791.457,489.847,253.347
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.171,656.747,938.855,794.588,5.0739,218.378
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.165,656.777,93.43,790.742,507.089,23.574
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,237.109,656.741,934.992,7.9141,430.145,285.003
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,237.254,6.5681,937.272,793.124,415.041,223.573
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,237.146,656.746,940.889,796.347,472.891,276.654
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.315,6.5672,93.358,7.8991,4.6647,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,237.208,6.5674,936.424,792.475,440.161,252.987
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,237.282,656.725,934.554,790.783,464.046,187.676
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-705.304,237.261,6.5672,935.537,791.647,474.153,192.649
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-710.259,237.279,656.713,93.675,792.646,506.771,219.447
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,237.294,656.721,94.002,7.9539,477.617,275.437
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,23.722,NaN,935.332,791.533,397.224,228.527
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-705.304,237.196,656.684,93.753,7.9343,492.492,281.942
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-712.241,23.722,656.701,937.817,793.635,472.801,173.117
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-709.268,237.316,656.714,933.035,789.447,485.589,254.484
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.352,656.701,932.559,788.991,358.186,262.625
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-709.268,237.323,656.721,93.318,7.8956,367.961,273.793
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-71.125,23.745,6.5667,934.252,790.279,536.043,190.548
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,23.748,656.695,932.764,788.974,528.317,238.505
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,237.419,656.701,932.326,788.695,368.204,181.912
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.372,656.637,937.709,793.318,485.037,276.146
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-702.331,237.462,656.485,939.146,794.401,482.887,284.784
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,237.607,6.5665,932.267,788.367,4.417,232.765
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.398,657.022,NaN,791.229,422.965,266.482
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-704.313,237.428,656.837,933.477,789.656,522.842,257.974
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-708.277,237.488,656.802,935.159,790.989,502.258,33.881
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-706.295,237.431,6.5673,937.613,7.9315,3.0965,234.417
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-702.331,237.536,655.636,933.403,789.433,5.3275,291.061
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-700.349,237.408,653.488,936.551,792.286,707.988,195.805
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-702.331,237.502,656.321,934.623,790.515,508.948,313.165
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-70.134,237.443,6.5646,933.567,789.709,558.218,324.462
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-707.286,237.482,656.565,938.934,794.192,433.715,23.064
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,-702.331,237.657,6.5664,935.964,7.9142,514.016,261.939
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,237.487,6.5925,932.246,788.527,4.8848,265.285
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,40.3756902,-3.7042021,45.7505856,-31.4496213,434.376,493.795,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,-694.403,337.557,662.454,967.078,686.265,0.0,NaN
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,-692.421,249.798,657.077,967.558,7.9988,2.6374,206.701
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,-69.143,24.97,6.57,97.033,802.316,357.414,326.087
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,-694.403,249.636,656.806,971.252,803.173,276.522,234.233
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,-693.412,249.745,656.772,97.224,803.828,349.763,284.186
2,40.3758387,-3.7041095,62.18048339999999,-19.9377552,550.589,610.726,30.0,-698.367,249.711,656.695,965.046,797.931,133.071,270.987
